estacion,latitud,longitud,msnm,TEMPERATURA_CELSIUS,VELOCIDAD_MEDIA_DIARIA_VIENTO_MILLAS_POR_HORA,DIRECCION_VIENTO_MAS_RAPIDA_5_SEC_GRADOS,VELOCIDAD_VIENTO_MAS_RAPIDA_5_SEC_MILLAS_POR_HORA,PRECIPITACION_mm,mes,dia,rango_estacion
8,28.4339,-81.325,27.4,6.900000000000001,15.88,360.0,29.08,0.0,1,8,2
8,28.4339,-81.325,27.4,16.5,10.07,360.0,25.05,0.0,2,10,2
8,28.4339,-81.325,27.4,19.6,9.62,360.0,38.92,0.2,2,23,2
3,29.6919,-82.2756,37.5,28.200000000000003,4.7,360.0,23.94,0.17,7,4,3
1,29.1828,-81.0483,9.4,26.399999999999995,3.8,360.0,36.01,2.51,6,26,2
6,24.555,-81.7522,1.2,20.700000000000003,11.18,360.0,21.03,0.01,1,28,1
6,24.555,-81.7522,1.2,23.099999999999998,13.87,360.0,29.08,0.0,2,10,1
6,24.555,-81.7522,1.2,26.0,6.71,360.0,17.0,0.0,3,2,1
6,24.555,-81.7522,1.2,23.8,8.05,360.0,19.01,0.0,3,10,1
6,24.555,-81.7522,1.2,29.599999999999998,6.04,360.0,16.11,0.0,5,27,1
6,24.555,-81.7522,1.2,29.299999999999997,7.38,360.0,23.04,0.46,7,7,1
7,25.7906,-80.3164,8.8,19.799999999999997,6.71,360.0,18.12,0.0,1,28,3
10,27.9619,-82.5403,5.8,18.7,13.65,360.0,29.08,0.17,1,7,2
10,27.9619,-82.5403,5.8,19.499999999999996,6.49,360.0,16.11,0.0,2,4,2
10,27.9619,-82.5403,5.8,21.2,8.5,360.0,25.95,0.71,2,8,2
10,27.9619,-82.5403,5.8,27.9,8.05,360.0,23.04,0.01,5,2,2
10,27.9619,-82.5403,5.8,26.700000000000003,4.03,360.0,23.04,0.34,6,3,2
10,27.9619,-82.5403,5.8,29.5,5.82,360.0,25.05,0.0,7,7,2
10,27.9619,-82.5403,5.8,29.599999999999998,5.14,360.0,18.12,0.0,8,9,2
10,27.9619,-82.5403,5.8,30.300000000000004,4.7,360.0,31.09,0.26,8,16,2
10,27.9619,-82.5403,5.8,29.699999999999996,3.36,360.0,21.03,0.24,8,17,2
10,27.9619,-82.5403,5.8,29.099999999999998,5.82,360.0,23.04,0.91,9,1,2
11,27.6531,-80.2428,8.5,9.8,16.78,360.0,35.12,0.0,1,8,1
11,27.6531,-80.2428,8.5,18.7,7.16,360.0,19.91,0.0,2,4,1
11,27.6531,-80.2428,8.5,26.999999999999996,10.07,360.0,27.96,0.0,9,17,1
12,26.6847,-80.0994,5.8,27.700000000000003,9.17,360.0,25.95,0.0,9,17,2
2,26.0719,-80.1536,3.4,17.9,7.83,360.0,21.92,0.0,1,28,2
4,30.4844,-81.7019,10.1,2.4000000000000004,8.5,360.0,21.03,0.0,1,8,3
4,30.4844,-81.7019,10.1,7.300000000000001,10.51,360.0,25.05,0.0,3,15,3
4,30.4844,-81.7019,10.1,23.899999999999995,3.8,360.0,19.91,0.0,9,13,3
5,30.3361,-81.5147,12.5,24.299999999999997,4.47,360.0,19.91,1.0,6,2,2
5,30.3361,-81.5147,12.5,28.200000000000003,6.04,360.0,25.95,1.04,6,25,2
5,30.3361,-81.5147,12.5,25.200000000000003,5.14,360.0,29.08,1.13,6,26,2
9,30.3975,-84.3289,19.2,12.100000000000001,2.01,360.0,14.09,0.0,2,5,2
9,30.3975,-84.3289,19.2,16.400000000000002,8.95,360.0,25.05,0.0,3,12,2
9,30.3975,-84.3289,19.2,8.1,10.07,360.0,27.07,0.0,3,15,2
9,30.3975,-84.3289,19.2,5.899999999999999,3.58,360.0,18.12,0.0,3,16,2
9,30.3975,-84.3289,19.2,28.5,4.92,360.0,21.92,0.7,8,25,2
8,28.4339,-81.325,27.4,18.200000000000003,14.76,350.0,31.09,0.53,1,7,2
