estacion,estado,latitud,longitud,msnm,TEMPERATURA_CELSIUS,VELOCIDAD_MEDIA_DIARIA_VIENTO_MILLAS_POR_HORA,DIRECCION_VIENTO_MAS_RAPIDA_5_SEC_GRADOS,VELOCIDAD_VIENTO_MAS_RAPIDA_5_SEC_MILLAS_POR_HORA,PRECIPITACION_mm,mes,dia,rango_estacion
8,,28.4339,-81.325,27.4,6.900000000000001,2.227843045068672,360.0,29.08,0.0,-1.5390612457067223,8,-0.13143960268877047
8,,28.4339,-81.325,27.4,16.5,0.637783791454342,360.0,25.05,0.0,-1.1342645564312812,10,-0.13143960268877047
8,,28.4339,-81.325,27.4,19.6,0.5146294602793936,360.0,38.92,0.2,-1.1342645564312812,23,-0.13143960268877047
3,,29.6919,-82.2756,37.5,28.200000000000003,-0.8318578939000388,360.0,23.94,0.17,0.8897188899459247,4,1.4332456293189315
1,,29.1828,-81.0483,9.4,26.399999999999995,-1.0781665562499352,360.0,36.01,2.51,0.4849222006704836,26,-0.13143960268877047
6,,24.555,-81.7522,1.2,20.700000000000003,0.9415644750192139,360.0,21.03,0.01,-1.5390612457067223,28,-1.6961248346964726
6,,24.555,-81.7522,1.2,23.099999999999998,1.6777536991539037,360.0,29.08,0.0,-1.1342645564312812,10,-1.6961248346964726
6,,24.555,-81.7522,1.2,26.0,-0.2817685479852707,360.0,17.0,0.0,-0.72946786715584,2,-1.6961248346964726
6,,24.555,-81.7522,1.2,23.8,0.08495768262457505,360.0,19.01,0.0,-0.72946786715584,10,-1.6961248346964726
6,,24.555,-81.7522,1.2,29.599999999999998,-0.4651316632901934,360.0,16.11,0.0,0.08012551139504238,27,-1.6961248346964726
6,,24.555,-81.7522,1.2,29.299999999999997,-0.09840543268034792,360.0,23.04,0.46,0.8897188899459247,7,-1.6961248346964726
7,,25.7906,-80.3164,8.8,19.799999999999997,-0.2817685479852707,360.0,18.12,0.0,-1.5390612457067223,28,1.4332456293189315
10,,27.9619,-82.5403,5.8,18.7,1.6175449150239294,360.0,29.08,0.17,-1.5390612457067223,7,-0.13143960268877047
10,,27.9619,-82.5403,5.8,19.499999999999996,-0.3419773321152452,360.0,16.11,0.0,-1.1342645564312812,4,-0.13143960268877047
10,,27.9619,-82.5403,5.8,21.2,0.208112013799523,360.0,25.95,0.71,-1.1342645564312812,8,-0.13143960268877047
10,,27.9619,-82.5403,5.8,27.9,0.08495768262457505,360.0,23.04,0.01,0.08012551139504238,2,-0.13143960268877047
10,,27.9619,-82.5403,5.8,26.700000000000003,-1.0152210092049616,360.0,23.04,0.34,0.4849222006704836,3,-0.13143960268877047
10,,27.9619,-82.5403,5.8,29.5,-0.5253404474201679,360.0,25.05,0.0,0.8897188899459247,7,-0.13143960268877047
10,,27.9619,-82.5403,5.8,29.599999999999998,-0.7114403256400897,360.0,18.12,0.0,1.2945155792213658,9,-0.13143960268877047
10,,27.9619,-82.5403,5.8,30.300000000000004,-0.8318578939000388,360.0,31.09,0.26,1.2945155792213658,16,-0.13143960268877047
10,,27.9619,-82.5403,5.8,29.699999999999996,-1.1985841245098843,360.0,21.03,0.24,1.2945155792213658,17,-0.13143960268877047
10,,27.9619,-82.5403,5.8,29.099999999999998,-0.5253404474201679,360.0,23.04,0.91,1.6993122684968072,1,-0.13143960268877047
11,,27.6531,-80.2428,8.5,9.8,2.474151707418569,360.0,35.12,0.0,-1.5390612457067223,8,-1.6961248346964726
11,,27.6531,-80.2428,8.5,18.7,-0.15861421681032248,360.0,19.91,0.0,-1.1342645564312812,4,-1.6961248346964726
11,,27.6531,-80.2428,8.5,26.999999999999996,0.637783791454342,360.0,27.96,0.0,1.6993122684968072,17,-1.6961248346964726
12,,26.6847,-80.0994,5.8,27.700000000000003,0.3914751291044457,360.0,25.95,0.0,1.6993122684968072,17,-0.13143960268877047
2,,26.0719,-80.1536,3.4,17.9,0.024748898494600245,360.0,21.92,0.0,-1.5390612457067223,28,-0.13143960268877047
4,,30.4844,-81.7019,10.1,2.4000000000000004,0.208112013799523,360.0,21.03,0.0,-1.5390612457067223,8,1.4332456293189315
